sample_id,app_label
1,network-storage
2,video
3,network-transmission
4,instant-message
5,mail-service
6,mail-service
7,instant-message
8,mail-service
9,network-storage
10,game
11,web-browsing
12,game
13,video
14,game
15,web-browsing
16,web-browsing
17,video
18,web-browsing
19,web-browsing
20,web-browsing
21,game
22,mail-service
23,instant-message
24,web-browsing
25,network-storage
26,network-transmission
27,network-storage
28,video
29,network-transmission
30,network-storage
31,instant-message
32,network-storage
33,web-browsing
34,network-storage
35,web-browsing
36,instant-message
37,network-storage
38,network-storage
39,instant-message
40,mail-service
41,web-browsing
42,game
43,network-transmission
44,game
45,game
46,web-browsing
47,game
48,instant-message
49,instant-message
50,instant-message
51,web-browsing
52,mail-service
53,network-transmission
54,instant-message
55,mail-service
56,mail-service
57,instant-message
58,web-browsing
59,instant-message
60,web-browsing
61,game
62,network-storage
63,instant-message
64,network-storage
65,instant-message
66,network-transmission
67,video
68,web-browsing
69,network-storage
70,instant-message
71,mail-service
72,web-browsing
73,web-browsing
74,network-transmission
75,game
76,instant-message
77,network-transmission
78,network-storage
79,network-transmission
80,video
81,game
82,instant-message
83,game
84,network-transmission
85,network-transmission
86,mail-service
87,game
88,mail-service
89,instant-message
90,web-browsing
91,instant-message
92,instant-message
93,video
94,network-transmission
95,web-browsing
96,network-storage
97,mail-service
98,mail-service
99,video
100,network-storage
101,video
102,network-storage
103,web-browsing
104,mail-service
105,web-browsing
106,instant-message
107,web-browsing
108,video
109,game
110,web-browsing
111,instant-message
112,video
113,web-browsing
114,network-storage
115,network-transmission
116,network-transmission
117,mail-service
118,network-transmission
119,web-browsing
120,game
121,network-storage
122,mail-service
123,network-storage
124,web-browsing
125,network-transmission
126,web-browsing
127,network-storage
128,network-transmission
129,web-browsing
130,instant-message
131,instant-message
132,game
133,game
134,network-storage
135,network-storage
136,network-storage
137,game
138,network-storage
139,web-browsing
140,instant-message
141,video
142,instant-message
143,network-transmission
144,web-browsing
145,network-storage
146,instant-message
147,web-browsing
148,network-storage
149,web-browsing
150,web-browsing
151,network-transmission
152,video
153,mail-service
154,web-browsing
155,web-browsing
156,mail-service
157,web-browsing
158,game
159,game
160,network-transmission
161,web-browsing
162,mail-service
163,web-browsing
164,mail-service
165,game
166,instant-message
167,web-browsing
168,network-storage
169,web-browsing
170,network-transmission
171,network-transmission
172,network-storage
173,mail-service
174,mail-service
175,network-transmission
176,game
177,game
178,game
179,instant-message
180,video
181,web-browsing
182,video
183,game
184,game
185,web-browsing
186,game
187,network-storage
188,network-transmission
189,network-transmission
190,game
191,video
192,instant-message
193,mail-service
194,web-browsing
195,video
196,network-transmission
197,network-transmission
198,web-browsing
199,web-browsing
200,network-storage
201,web-browsing
202,video
203,network-storage
204,network-storage
205,mail-service
206,network-transmission
207,network-transmission
208,instant-message
209,network-transmission
210,video
211,mail-service
212,network-storage
213,mail-service
214,network-storage
215,web-browsing
216,instant-message
217,instant-message
218,network-transmission
219,instant-message
220,mail-service
221,mail-service
222,mail-service
223,network-transmission
224,video
225,network-transmission
226,network-transmission
227,game
228,instant-message
229,web-browsing
230,mail-service
231,game
232,mail-service
233,network-transmission
234,web-browsing
235,game
236,web-browsing
237,video
238,video
239,game
240,video
241,mail-service
242,game
243,video
244,network-storage
245,mail-service
246,network-storage
247,network-transmission
248,network-transmission
249,game
250,mail-service
251,network-transmission
252,game
253,web-browsing
254,network-transmission
255,mail-service
256,network-transmission
257,instant-message
258,mail-service
259,video
260,network-storage
261,network-storage
262,video
263,network-transmission
264,web-browsing
265,network-transmission
266,game
267,instant-message
268,network-storage
269,network-transmission
270,instant-message
271,web-browsing
272,instant-message
273,web-browsing
274,network-storage
275,game
276,instant-message
277,mail-service
278,network-transmission
279,video
280,web-browsing
281,web-browsing
282,web-browsing
283,video
284,network-transmission
285,mail-service
286,network-storage
287,game
288,game
289,mail-service
290,mail-service
291,web-browsing
292,mail-service
293,instant-message
294,network-storage
295,video
296,mail-service
297,mail-service
298,instant-message
299,network-storage
300,instant-message
301,mail-service
302,video
303,instant-message
304,network-transmission
305,network-transmission
306,game
307,game
308,network-transmission
309,instant-message
310,video
311,network-transmission
312,mail-service
313,network-transmission
314,instant-message
315,web-browsing
316,instant-message
317,web-browsing
318,video
319,network-storage
320,video
321,network-storage
322,web-browsing
323,network-storage
324,web-browsing
325,game
326,network-storage
327,web-browsing
328,network-storage
329,video
330,network-transmission
331,network-storage
332,instant-message
333,network-storage
334,video
335,game
336,mail-service
337,video
338,game
339,game
340,network-transmission
341,instant-message
342,video
343,network-transmission
344,web-browsing
345,video
346,network-transmission
347,game
348,mail-service
349,game
350,mail-service
351,web-browsing
352,video
353,video
354,web-browsing
355,mail-service
356,network-transmission
357,network-transmission
358,game
359,instant-message
360,instant-message
361,instant-message
362,instant-message
363,network-storage
364,web-browsing
365,network-transmission
366,web-browsing
367,web-browsing
368,web-browsing
369,mail-service
370,network-storage
371,network-storage
372,network-storage
373,game
374,game
375,instant-message
376,web-browsing
377,network-storage
378,mail-service
379,instant-message
380,network-transmission
381,game
382,mail-service
383,network-transmission
384,network-storage
385,network-transmission
386,network-storage
387,network-transmission
388,game
389,instant-message
390,network-storage
391,game
392,network-transmission
393,network-storage
394,network-storage
395,network-storage
396,mail-service
397,video
398,game
399,network-transmission
400,game
401,web-browsing
402,mail-service
403,mail-service
404,mail-service
405,web-browsing
406,network-storage
407,instant-message
408,web-browsing
409,game
410,network-storage
411,web-browsing
412,video
413,network-storage
414,network-storage
415,mail-service
416,video
417,web-browsing
418,video
419,network-transmission
420,network-storage
421,game
422,network-storage
423,network-storage
424,network-transmission
425,game
426,network-transmission
427,instant-message
428,video
429,network-transmission
430,instant-message
431,game
432,web-browsing
433,instant-message
434,mail-service
435,network-storage
436,mail-service
437,video
438,network-transmission
439,mail-service
440,network-transmission
441,network-storage
442,instant-message
443,network-transmission
444,network-storage
445,network-storage
446,network-storage
447,game
448,mail-service
449,game
450,instant-message
451,network-transmission
452,instant-message
453,network-transmission
454,instant-message
455,video
456,video
457,mail-service
458,instant-message
459,network-storage
460,video
461,mail-service
462,instant-message
463,network-storage
464,instant-message
465,web-browsing
466,network-storage
467,web-browsing
468,video
469,game
470,network-storage
471,network-storage
472,web-browsing
473,instant-message
474,mail-service
475,game
476,network-transmission
477,instant-message
478,video
479,mail-service
480,instant-message
481,mail-service
482,network-transmission
483,video
484,video
485,network-storage
486,network-transmission
487,network-transmission
488,video
489,instant-message
490,video
491,network-transmission
492,game
493,instant-message
494,web-browsing
495,game
496,game
497,game
498,video
499,network-transmission
500,game
501,video
502,game
503,web-browsing
504,web-browsing
505,network-storage
506,web-browsing
507,web-browsing
508,video
509,mail-service
510,mail-service
511,web-browsing
512,mail-service
513,network-storage
514,web-browsing
515,instant-message
516,video
517,game
518,game
519,network-storage
520,web-browsing
521,web-browsing
522,network-transmission
523,network-storage
524,game
525,video
526,mail-service
527,game
528,web-browsing
529,video
530,mail-service
531,web-browsing
532,mail-service
533,network-storage
534,game
535,game
536,network-transmission
537,mail-service
538,network-transmission
539,network-storage
540,web-browsing
541,web-browsing
542,web-browsing
543,game
544,network-storage
545,network-storage
546,web-browsing
547,video
548,instant-message
549,mail-service
550,video
551,instant-message
552,web-browsing
553,network-transmission
554,network-transmission
555,video
556,network-storage
557,network-transmission
558,instant-message
559,web-browsing
560,game
561,web-browsing
562,mail-service
563,instant-message
564,instant-message
565,network-storage
566,web-browsing
567,network-transmission
568,game
569,network-storage
570,network-storage
571,instant-message
572,network-transmission
573,game
574,web-browsing
575,video
576,game
577,mail-service
578,web-browsing
579,network-storage
580,video
581,instant-message
582,game
583,network-transmission
584,video
585,video
586,web-browsing
587,network-transmission
588,web-browsing
589,network-transmission
590,video
591,instant-message
592,network-storage
593,network-storage
594,network-storage
595,web-browsing
596,web-browsing
597,instant-message
598,mail-service
599,network-storage
600,web-browsing
601,web-browsing
602,instant-message
603,mail-service
604,web-browsing
605,network-transmission
606,instant-message
607,game
608,network-transmission
609,game
610,video
611,mail-service
612,network-transmission
613,web-browsing
614,instant-message
615,web-browsing
616,network-storage
617,network-transmission
618,video
619,instant-message
620,video
621,network-storage
622,game
623,network-transmission
624,instant-message
625,game
626,network-transmission
627,mail-service
628,network-storage
629,game
630,instant-message
631,network-storage
632,network-transmission
633,web-browsing
634,network-storage
635,game
636,web-browsing
637,network-transmission
638,network-storage
639,game
640,game
641,video
642,mail-service
643,mail-service
644,network-transmission
645,network-transmission
646,video
647,instant-message
648,video
649,network-transmission
650,mail-service
651,web-browsing
652,video
653,mail-service
654,web-browsing
655,mail-service
656,mail-service
657,mail-service
658,video
659,network-storage
660,network-storage
661,network-transmission
662,web-browsing
663,game
664,instant-message
665,web-browsing
666,network-transmission
667,mail-service
668,mail-service
669,video
670,web-browsing
671,network-storage
672,mail-service
673,web-browsing
674,game
675,network-transmission
676,network-transmission
677,game
678,instant-message
679,instant-message
680,web-browsing
681,web-browsing
682,video
683,network-transmission
684,network-storage
685,network-storage
686,network-transmission
687,web-browsing
688,network-storage
689,network-transmission
690,instant-message
691,instant-message
692,web-browsing
693,game
694,mail-service
695,network-storage
696,network-storage
697,mail-service
698,network-transmission
699,network-storage
700,video
701,video
702,video
703,network-transmission
704,web-browsing
705,mail-service
706,instant-message
707,instant-message
708,instant-message
709,network-transmission
710,network-transmission
711,network-transmission
712,network-storage
713,network-transmission
714,instant-message
715,web-browsing
716,web-browsing
717,instant-message
718,network-storage
719,game
720,game
721,game
722,network-transmission
723,instant-message
724,mail-service
725,instant-message
726,web-browsing
727,network-transmission
728,game
729,mail-service
730,video
731,instant-message
732,mail-service
733,web-browsing
734,network-storage
735,network-storage
736,instant-message
737,game
738,video
739,instant-message
740,web-browsing
741,video
742,web-browsing
743,instant-message
744,web-browsing
745,mail-service
746,instant-message
747,network-storage
748,instant-message
749,network-transmission
750,network-storage
751,network-storage
752,web-browsing
753,network-storage
754,network-storage
755,video
756,instant-message
757,network-storage
758,web-browsing
759,game
760,mail-service
761,network-transmission
762,instant-message
763,video
764,instant-message
765,game
766,video
767,mail-service
768,network-storage
769,web-browsing
770,video
771,instant-message
772,network-storage
773,video
774,game
775,network-transmission
776,network-storage
777,game
778,network-transmission
779,instant-message
780,network-transmission
781,network-storage
782,mail-service
783,video
784,network-storage
785,mail-service
786,game
787,mail-service
788,game
789,network-storage
790,mail-service
791,game
792,video
793,mail-service
794,video
795,game
796,network-transmission
797,web-browsing
798,instant-message
799,video
800,video
801,instant-message
802,web-browsing
803,network-transmission
804,mail-service
805,video
806,network-transmission
807,mail-service
808,mail-service
809,video
810,network-storage
811,network-transmission
812,network-storage
813,mail-service
814,network-storage
815,network-storage
816,game
817,instant-message
818,mail-service
819,network-storage
820,network-transmission
821,video
822,mail-service
823,video
824,network-storage
825,instant-message
826,instant-message
827,web-browsing
828,instant-message
829,web-browsing
830,instant-message
831,mail-service
832,instant-message
833,video
834,web-browsing
835,network-transmission
836,network-transmission
837,instant-message
838,instant-message
839,network-transmission
840,game
841,network-storage
842,instant-message
843,network-transmission
844,game
845,web-browsing
846,game
847,video
848,network-storage
849,network-transmission
850,instant-message
851,web-browsing
852,network-transmission
853,video
854,network-transmission
855,web-browsing
856,video
857,network-storage
858,game
859,mail-service
860,network-storage
861,mail-service
862,network-storage
863,mail-service
864,game
865,network-storage
866,instant-message
867,network-transmission
868,mail-service
869,game
870,network-transmission
871,instant-message
872,instant-message
873,web-browsing
874,instant-message
875,network-storage
876,instant-message
877,network-storage
878,web-browsing
879,instant-message
880,network-transmission
881,network-transmission
882,instant-message
883,network-storage
884,mail-service
885,web-browsing
886,instant-message
887,network-storage
888,network-storage
889,network-storage
890,video
891,game
892,game
893,network-transmission
894,instant-message
895,web-browsing
896,mail-service
897,web-browsing
898,network-transmission
899,video
900,network-storage
901,game
902,network-transmission
903,network-transmission
904,web-browsing
905,network-transmission
906,game
907,web-browsing
908,network-storage
909,network-transmission
910,mail-service
911,network-transmission
912,game
913,network-storage
914,video
915,video
916,instant-message
917,network-transmission
918,game
919,video
920,web-browsing
921,network-transmission
922,instant-message
923,instant-message
924,network-storage
925,instant-message
926,network-storage
927,instant-message
928,game
929,instant-message
930,network-transmission
931,instant-message
932,instant-message
933,mail-service
934,network-transmission
935,web-browsing
936,web-browsing
937,network-transmission
938,network-transmission
939,network-storage
940,video
941,network-storage
942,network-transmission
943,game
944,instant-message
945,web-browsing
946,web-browsing
947,game
948,game
949,instant-message
950,network-storage
951,instant-message
952,web-browsing
953,network-storage
954,game
955,video
956,network-storage
957,instant-message
958,network-storage
959,web-browsing
960,video
961,mail-service
962,instant-message
963,instant-message
964,network-storage
965,instant-message
966,mail-service
967,instant-message
968,mail-service
969,game
970,network-storage
971,web-browsing
972,game
973,web-browsing
974,network-transmission
975,network-transmission
976,network-transmission
977,network-transmission
978,network-storage
979,network-transmission
980,game
981,network-storage
982,web-browsing
983,network-transmission
984,mail-service
985,instant-message
986,game
987,instant-message
988,network-transmission
989,network-transmission
990,video
991,instant-message
992,network-transmission
993,game
994,instant-message
995,web-browsing
996,instant-message
997,instant-message
998,game
999,instant-message
1000,network-transmission
1001,instant-message
1002,video
1003,instant-message
1004,web-browsing
1005,network-storage
1006,web-browsing
1007,video
1008,mail-service
1009,network-transmission
1010,game
1011,mail-service
1012,game
1013,network-storage
1014,instant-message
1015,mail-service
1016,instant-message
1017,video
1018,web-browsing
1019,web-browsing
1020,mail-service
1021,web-browsing
1022,mail-service
1023,network-transmission
1024,mail-service
1025,network-storage
1026,network-storage
1027,video
1028,network-storage
1029,mail-service
1030,instant-message
1031,network-transmission
1032,instant-message
1033,game
1034,video
1035,video
1036,network-storage
1037,game
1038,network-storage
1039,mail-service
1040,video
1041,instant-message
1042,game
1043,network-transmission
1044,video
1045,game
1046,mail-service
1047,network-storage
1048,instant-message
1049,network-storage
1050,network-transmission
1051,web-browsing
1052,network-transmission
1053,game
1054,network-storage
1055,video
1056,video
1057,web-browsing
1058,network-transmission
1059,instant-message
1060,instant-message
1061,video
1062,mail-service
1063,mail-service
1064,network-storage
1065,instant-message
1066,game
1067,network-transmission
1068,game
1069,video
1070,mail-service
1071,network-transmission
1072,network-storage
1073,network-transmission
1074,network-transmission
1075,mail-service
1076,game
1077,game
1078,web-browsing
1079,instant-message
1080,video
1081,web-browsing
1082,network-transmission
1083,network-transmission
1084,network-transmission
1085,instant-message
1086,mail-service
1087,video
1088,web-browsing
1089,network-storage
1090,instant-message
1091,instant-message
1092,instant-message
1093,instant-message
1094,mail-service
1095,mail-service
1096,instant-message
1097,network-storage
1098,game
1099,mail-service
1100,instant-message
1101,game
1102,video
1103,network-transmission
1104,network-transmission
1105,network-storage
1106,mail-service
1107,web-browsing
1108,instant-message
1109,instant-message
1110,mail-service
1111,web-browsing
1112,web-browsing
1113,network-storage
1114,instant-message
1115,web-browsing
1116,network-transmission
1117,web-browsing
1118,web-browsing
1119,video
1120,mail-service
1121,video
1122,game
1123,network-transmission
1124,instant-message
1125,instant-message
1126,mail-service
1127,game
1128,web-browsing
1129,web-browsing
1130,mail-service
1131,mail-service
1132,game
1133,network-storage
1134,game
1135,network-storage
1136,network-transmission
1137,network-storage
1138,game
1139,game
1140,instant-message
1141,web-browsing
1142,video
1143,game
1144,mail-service
1145,instant-message
1146,mail-service
1147,web-browsing
